"","Active","IDLoc","ID","MS","IDS","LocS","Total1","Total2","D1","D2","D3","D4","D5","Risk"
"1",1,36,"g",0,1,0,4,1,0,0,0,0,"b",1
"2",0,10,"g",0,1,0,1,0,0,0,0,0,"a",1
"3",0,52,"g",0,1,0,2,3,0,0,0,0,"b",1
"4",1,35,"b",1,1,0,2,0,1,0,0,0,"a",1
"5",0,51,"g",0,1,0,4,1,1,1,0,0,"b",1
"6",0,19,"e",0,0,0,0,0,1,1,0,0,"a",1
"7",1,38,"d",0,1,0,2,1,1,0,0,0,"b",1
"8",0,45,"g",0,0,0,4,2,0,0,0,0,"b",1
"9",1,51,"b",0,1,0,1,1,0,0,0,0,"b",1
"10",0,35,"g",0,1,0,1,2,1,0,0,0,"b",1
"11",1,25,"g",0,1,0,2,3,0,0,0,0,"b",1
"12",1,20,"g",0,0,0,1,2,1,0,0,0,"b",1
"13",0,51,"b",0,1,0,1,1,0,0,0,0,"b",1
"14",1,34,"g",0,1,0,4,2,1,1,0,0,"b",1
"15",0,17,"g",1,1,0,1,1,0,0,0,0,"b",1
"16",1,51,"g",1,1,0,0,1,1,1,1,0,"b",2
"17",0,50,"l",0,1,0,0,0,0,0,0,0,"a",1
"18",0,37,"b",0,1,0,1,0,0,0,0,0,"a",1
"19",0,40,"g",0,1,0,4,1,1,1,1,1,"b",3
"20",0,45,"g",0,1,0,3,2,0,0,0,0,"b",1
"21",0,33,"c",0,1,0,1,1,1,1,0,0,"b",1
"22",1,47,"g",0,1,0,1,1,0,0,0,0,"b",1
"23",1,40,"g",0,1,0,2,0,1,1,0,0,"a",1
"24",0,6,"h",0,0,0,0,2,0,0,0,0,"b",1
"25",1,21,"f",0,1,0,1,1,1,0,0,0,"b",1
"26",1,44,"g",0,1,0,3,1,1,1,0,0,"b",1
"27",1,37,"b",0,1,0,0,2,0,0,0,0,"b",1
"28",1,9,"b",0,1,0,1,2,1,1,1,0,"b",2
"29",1,4,"i",0,0,0,4,1,0,0,0,0,"b",1
"30",0,14,"g",0,1,0,1,3,0,0,0,0,"b",1
"31",1,39,"g",0,1,0,0,3,0,0,0,0,"b",1
"32",0,17,"g",0,1,0,2,2,0,0,0,0,"b",1
"33",1,36,"g",0,1,0,0,3,0,0,0,0,"b",1
"34",0,34,"b",0,1,0,2,3,0,0,0,0,"b",1
"35",1,50,"i",0,0,0,1,2,0,0,0,0,"b",1
"36",0,16,"b",0,1,0,4,1,1,1,0,0,"b",1
"37",1,51,"g",0,1,0,1,3,0,0,0,0,"b",1
"38",1,32,"g",0,1,0,2,0,0,0,0,0,"a",1
"39",1,30,"g",0,1,0,2,0,0,0,0,0,"a",1
"40",1,12,"g",0,0,0,0,2,1,0,0,0,"b",1
"41",0,17,"g",0,1,1,1,4,0,0,0,0,"b",1
"42",1,51,"d",0,1,0,0,2,0,0,0,0,"b",1
"43",1,6,"g",1,1,0,0,0,1,1,1,0,"a",1
"44",0,14,"g",0,1,0,0,0,0,0,0,0,"a",1
"45",0,7,"g",0,1,0,0,1,1,0,0,0,"b",1
"46",0,11,"d",0,1,0,4,1,1,1,1,0,"b",2
"47",0,35,"g",1,1,0,0,4,0,0,0,0,"b",1
"48",1,17,"d",0,1,0,1,3,0,0,0,0,"b",1
"49",1,19,"g",0,1,0,2,2,0,0,0,0,"b",1
"50",0,22,"g",0,1,1,2,3,0,0,0,0,"b",1
"51",0,8,"g",0,1,0,1,3,0,0,0,0,"b",1
"52",0,48,"g",0,1,0,1,3,0,0,0,0,"b",1
"53",0,17,"g",0,1,0,2,2,0,0,0,0,"b",1
"54",0,44,"g",0,1,0,2,4,0,0,0,0,"b",1
"55",1,49,"l",0,1,0,2,2,0,0,0,0,"b",1
"56",1,1,"g",1,1,0,1,1,0,0,0,0,"b",1
"57",1,2,"j",0,0,0,1,1,1,1,0,0,"b",1
"58",0,43,"g",1,1,0,3,1,0,0,0,0,"b",1
"59",0,17,"g",0,1,0,0,1,0,0,0,0,"b",1
"60",1,22,"g",0,1,0,2,4,1,1,1,1,"b",2
"61",1,35,"b",0,0,0,2,2,0,0,0,0,"b",1
"62",1,6,"g",1,0,0,0,1,0,0,0,0,"b",1
"63",1,54,"m",1,1,0,4,2,0,0,0,0,"b",1
"64",1,22,"g",0,1,0,1,2,1,1,1,0,"b",1
"65",1,38,"g",0,1,0,3,3,1,1,0,0,"b",1
"66",0,1,"g",1,0,0,2,3,1,1,0,0,"b",2
"67",1,24,"g",0,1,0,1,1,0,0,0,0,"b",1
"68",1,10,"g",0,1,0,0,3,1,0,0,0,"b",1
"69",1,29,"g",0,1,0,3,0,1,1,1,0,"a",1
"70",0,5,"g",0,1,0,3,1,0,0,0,0,"b",1
"71",0,17,"g",0,1,0,1,1,0,0,0,0,"b",1
"72",1,33,"g",0,1,0,2,2,0,0,0,0,"b",1
"73",1,51,"c",0,1,0,0,4,1,1,1,0,"b",2
"74",0,8,"g",0,1,0,2,1,0,0,0,0,"b",1
"75",1,47,"g",0,0,0,1,4,1,1,1,0,"b",3
"76",1,26,"b",1,1,0,1,1,1,0,0,0,"b",1
"77",0,6,"d",0,1,0,0,1,0,0,0,0,"b",1
"78",0,47,"g",1,0,0,0,4,1,1,0,0,"b",2
"79",0,20,"g",0,1,1,3,1,0,0,0,0,"b",1
"80",1,38,"b",0,1,0,1,2,0,0,0,0,"b",1
"81",1,51,"b",0,1,1,3,2,0,0,0,0,"b",1
"82",1,30,"g",0,1,0,2,1,1,0,0,0,"b",1
"83",0,17,"g",0,1,0,2,1,1,0,0,0,"b",1
"84",0,29,"g",0,1,0,2,4,0,0,0,0,"b",1
"85",0,15,"g",0,1,1,3,2,0,0,0,0,"b",1
"86",0,17,"n",0,1,0,3,3,0,0,0,0,"b",1
"87",0,20,"g",0,1,0,1,1,0,0,0,0,"b",1
"88",1,2,"b",0,1,0,2,3,1,1,1,0,"b",1
"89",1,20,"g",0,0,0,1,2,1,0,0,0,"b",1
"90",0,32,"l",0,1,0,2,1,0,0,0,0,"b",1
"91",0,46,"f",0,1,0,2,2,0,0,0,0,"b",1
"92",1,18,"g",0,1,0,1,2,0,0,0,0,"b",1
"93",0,38,"b",0,1,0,4,3,0,0,0,0,"b",1
"94",0,17,"g",0,1,0,3,2,1,0,0,0,"b",1
"95",1,44,"g",0,1,0,1,0,1,1,0,0,"a",1
"96",1,20,"g",0,1,0,1,0,1,1,1,0,"a",1
"97",0,50,"g",0,1,0,2,2,0,0,0,0,"b",1
"98",0,2,"g",0,1,0,1,1,0,0,0,0,"b",1
"99",0,6,"g",0,0,1,1,2,0,0,0,0,"b",1
"100",1,25,"g",0,1,0,2,2,1,0,0,0,"b",1
"101",1,17,"c",0,1,0,1,1,0,0,0,0,"b",1
"102",1,51,"g",0,1,0,2,3,0,0,0,0,"b",1
"103",1,42,"g",0,1,0,4,1,0,0,0,0,"b",1
"104",0,6,"g",0,0,0,2,1,0,0,0,0,"b",1
"105",1,20,"g",0,1,0,2,3,0,0,0,0,"b",1
"106",1,51,"d",0,1,0,1,2,1,0,0,0,"b",1
"107",1,30,"g",0,1,0,2,3,1,0,0,0,"b",1
"108",0,6,"l",0,0,0,2,4,1,1,1,1,"b",3
"109",1,44,"g",0,1,0,3,1,0,0,0,0,"b",1
